"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"182",190,"6/17/2023",11477,"TOR","Hicksy",1,"S&D","Mercado Las Almas","TOR",6,1.4,7,5,2,773,13,0.58,0.42,64.42,507.424,2,1,"0",0,0,6,0,2,3,1,2,30,1,1,0,3,6,3,"773",507,"Stage5","NY",0
"183",191,"6/17/2023",11477,"TOR","Insight",1,"S&D","Mercado Las Almas","TOR",6,1,4,4,2,547,23.25,0.33,0.33,45.58,478.032,0,1,"0",0,0,9,0,4,4,0,0,19,1,1,0,3,6,3,"547",478,"Stage5","NY",0
"184",192,"6/17/2023",11477,"TOR","Scrap",1,"S&D","Mercado Las Almas","TOR",6,2.67,8,3,0,1195,28.63,0.67,0.25,99.58,542.592,1,0,"0",0,0,6,0,6,1,0,0,6,8,1,0,3,6,3,"1195",543,"Stage5","NY",0
"185",193,"6/17/2023",11477,"NY","HyDra",0,"Hardpoint","Zarqwa Hydroelectric","TOR",0,1.22,33,27,4,3359,12.61,3,2.45,305.36,558.704,1,0,"0",9,4,6,0,23,19,10,8,134,6,0,1,1,186,64,"3359",559,"Stage5","TOR",3
"186",194,"6/17/2023",11477,"NY","KiSMET",0,"Hardpoint","Zarqwa Hydroelectric","TOR",0,0.65,17,26,6,2590,17.76,1.55,2.36,235.45,563.84,0,0,"0",4,3,14,0,11,23,6,3,99,8,0,1,1,186,64,"2590",564,"Stage5","TOR",3
"187",195,"6/17/2023",11477,"NY","Priestahh",0,"Hardpoint","Zarqwa Hydroelectric","TOR",0,0.79,15,19,11,2919,20.47,1.36,1.73,265.36,599.12,0,0,"0",2,2,20,0,12,13,3,6,95,10,0,1,1,186,64,"2919",599,"Stage5","TOR",3
"188",196,"6/17/2023",11477,"NY","Skyz",0,"Hardpoint","Zarqwa Hydroelectric","TOR",0,1.1,22,20,6,2548,14.05,2,1.82,231.64,597.792,0,0,"0",7,2,19,0,14,16,8,4,90,6,0,1,1,186,64,"2548",598,"Stage5","TOR",3
"189",197,"6/17/2023",11477,"TOR","CleanX",0,"Hardpoint","Zarqwa Hydroelectric","TOR",1,1.43,33,23,7,3619,15.79,3,2.09,329,542.352,0,0,"0",5,5,17,0,25,15,8,8,149,11,1,0,0,250,64,"3619",542,"Stage5","NY",0
"190",198,"6/17/2023",11477,"TOR","Hicksy",0,"Hardpoint","Zarqwa Hydroelectric","TOR",1,0.77,17,22,9,1875,14.47,1.55,2,170.45,533.616,0,1,"0",2,6,19,0,11,14,6,8,73,12,1,0,0,250,64,"1875",534,"Stage5","NY",0
"191",199,"6/17/2023",11477,"TOR","Insight",0,"Hardpoint","Zarqwa Hydroelectric","TOR",1,0.9,18,20,5,2493,22.89,1.64,1.82,226.64,538.704,0,0,"0",2,5,14,0,17,14,1,6,84,15,1,0,0,250,64,"2493",539,"Stage5","NY",0
"192",200,"6/17/2023",11477,"TOR","Scrap",0,"Hardpoint","Zarqwa Hydroelectric","TOR",1,1.09,24,22,5,3260,18.71,2.18,2,296.36,586.8,0,0,"0",2,6,12,0,18,17,6,5,30,12,1,0,0,250,64,"3260",587,"Stage5","NY",0
"193",201,"6/16/2023",11481,"BOS","Beans",3,"Hardpoint","Breenbergh Hotel","BOS",1,1.33,28,21,11,3367,16.93,2.8,2.1,336.7,500.896,0,0,"0",8,3,17,0,19,14,9,7,109,21,1,0,0,250,39,"3367",501,"Stage5","MIN",211
"194",202,"6/16/2023",11481,"BOS","Kremp",3,"Hardpoint","Breenbergh Hotel","BOS",1,0.9,18,20,7,2215,17.17,1.8,2,221.5,478.608,0,0,"0",1,2,11,0,15,14,4,6,90,3,1,0,0,250,39,"2215",479,"Stage5","MIN",211
"195",203,"6/16/2023",11481,"BOS","Owakening",3,"Hardpoint","Breenbergh Hotel","BOS",1,1.5,27,18,8,3117,16.37,2.7,1.8,311.7,514.928,0,1,"0",2,1,14,0,19,12,8,6,113,11,1,0,0,250,39,"3117",515,"Stage5","MIN",211
"196",204,"6/16/2023",11481,"BOS","Snoopy",3,"Hardpoint","Breenbergh Hotel","BOS",1,0.71,15,21,12,1930,19.27,1.5,2.1,193,481.04,0,0,"0",5,1,15,0,10,18,5,3,76,7,1,0,0,250,39,"1930",481,"Stage5","MIN",211
"197",205,"6/16/2023",11481,"MIN","Attach",3,"Hardpoint","Breenbergh Hotel","BOS",0,1.3,26,20,7,3545,18,2.6,2,354.5,507.264,0,0,"0",4,4,16,0,20,16,6,4,121,11,0,1,1,211,39,"3545",507,"Stage5","BOS",250
